country_code,country_name,region,sub_region,intermediate_region,income_group,organization_name,is_aggregate
ABW,Aruba,AMERICAS,LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN,INGRESO ALTO,,False
AFG,Afghanistan,ASIA,SOUTHERN ASIA,NO DATA,PAÍSES DE INGRESO BAJO,,False
AGO,Angola,AFRICA,SUB-SAHARAN AFRICA,MIDDLE AFRICA,PAÍSES DE INGRESO MEDIANO BAJO,,False
ALB,Albania,EUROPE,SOUTHERN EUROPE,NO DATA,INGRESO MEDIANO ALTO,,False
AND,Andorra,EUROPE,SOUTHERN EUROPE,NO DATA,INGRESO ALTO,,False
ARE,United Arab Emirates,ASIA,WESTERN ASIA,NO DATA,INGRESO ALTO,,False
ARG,Argentina,AMERICAS,LATIN AMERICA AND THE CARIBBEAN,SOUTH AMERICA,INGRESO MEDIANO ALTO,,False
ARM,Armenia,ASIA,WESTERN ASIA,NO DATA,INGRESO MEDIANO ALTO,,False
ASM,American Samoa,OCEANIA,POLYNESIA,NO DATA,INGRESO ALTO,,False
ATG,Antigua And Barbuda,AMERICAS,LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN,INGRESO ALTO,,False
AUS,Australia,OCEANIA,AUSTRALIA AND NEW ZEALAND,NO DATA,INGRESO ALTO,,False
AUT,Austria,EUROPE,WESTERN EUROPE,NO DATA,INGRESO ALTO,,False
AZE,Azerbaijan,ASIA,WESTERN ASIA,NO DATA,INGRESO MEDIANO ALTO,,False
BDI,Burundi,AFRICA,SUB-SAHARAN AFRICA,EASTERN AFRICA,PAÍSES DE INGRESO BAJO,,False
BEL,Belgium,EUROPE,WESTERN EUROPE,NO DATA,INGRESO ALTO,,False
BEN,Benin,AFRICA,SUB-SAHARAN AFRICA,WESTERN AFRICA,PAÍSES DE INGRESO MEDIANO BAJO,,False
BFA,Burkina Faso,AFRICA,SUB-SAHARAN AFRICA,WESTERN AFRICA,PAÍSES DE INGRESO BAJO,,False
BGD,Bangladesh,ASIA,SOUTHERN ASIA,NO DATA,PAÍSES DE INGRESO MEDIANO BAJO,,False
BGR,Bulgaria,EUROPE,EASTERN EUROPE,NO DATA,INGRESO ALTO,,False
BHR,Bahrain,ASIA,WESTERN ASIA,NO DATA,INGRESO ALTO,,False
BHS,Bahamas,AMERICAS,LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN,INGRESO ALTO,,False
BIH,Bosnia And Herzegovina,EUROPE,SOUTHERN EUROPE,NO DATA,INGRESO MEDIANO ALTO,,False
BLR,Belarus,EUROPE,EASTERN EUROPE,NO DATA,INGRESO MEDIANO ALTO,,False
BLZ,Belize,AMERICAS,LATIN AMERICA AND THE CARIBBEAN,CENTRAL AMERICA,INGRESO MEDIANO ALTO,,False
BMU,Bermuda,AMERICAS,NORTHERN AMERICA,NO DATA,INGRESO ALTO,,False
BOL,Bolivia (Plurinational State Of),AMERICAS,LATIN AMERICA AND THE CARIBBEAN,SOUTH AMERICA,PAÍSES DE INGRESO MEDIANO BAJO,,False
BRA,Brazil,AMERICAS,LATIN AMERICA AND THE CARIBBEAN,SOUTH AMERICA,INGRESO MEDIANO ALTO,,False
BRB,Barbados,AMERICAS,LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN,INGRESO ALTO,,False
BRN,Brunei Darussalam,ASIA,SOUTH-EASTERN ASIA,NO DATA,INGRESO ALTO,,False
BTN,Bhutan,ASIA,SOUTHERN ASIA,NO DATA,PAÍSES DE INGRESO MEDIANO BAJO,,False
BWA,Botswana,AFRICA,SUB-SAHARAN AFRICA,SOUTHERN AFRICA,INGRESO MEDIANO ALTO,,False
CAF,Central African Republic,AFRICA,SUB-SAHARAN AFRICA,MIDDLE AFRICA,PAÍSES DE INGRESO BAJO,,False
CAN,Canada,AMERICAS,NORTHERN AMERICA,NO DATA,INGRESO ALTO,,False
CHE,Switzerland,EUROPE,WESTERN EUROPE,NO DATA,INGRESO ALTO,,False
CHL,Chile,AMERICAS,LATIN AMERICA AND THE CARIBBEAN,SOUTH AMERICA,INGRESO ALTO,,False
CHN,China,ASIA,EASTERN ASIA,NO DATA,INGRESO MEDIANO ALTO,,False
CIV,Côte D'Ivoire,AFRICA,SUB-SAHARAN AFRICA,WESTERN AFRICA,PAÍSES DE INGRESO MEDIANO BAJO,,False
CMR,Cameroon,AFRICA,SUB-SAHARAN AFRICA,MIDDLE AFRICA,PAÍSES DE INGRESO MEDIANO BAJO,,False
COD,"Congo, Democratic Republic Of The",AFRICA,SUB-SAHARAN AFRICA,MIDDLE AFRICA,PAÍSES DE INGRESO BAJO,,False
COG,Congo,AFRICA,SUB-SAHARAN AFRICA,MIDDLE AFRICA,PAÍSES DE INGRESO MEDIANO BAJO,,False
COL,Colombia,AMERICAS,LATIN AMERICA AND THE CARIBBEAN,SOUTH AMERICA,INGRESO MEDIANO ALTO,,False
COM,Comoros,AFRICA,SUB-SAHARAN AFRICA,EASTERN AFRICA,PAÍSES DE INGRESO MEDIANO BAJO,,False
CPV,Cabo Verde,AFRICA,SUB-SAHARAN AFRICA,WESTERN AFRICA,PAÍSES DE INGRESO MEDIANO BAJO,,False
CRI,Costa Rica,AMERICAS,LATIN AMERICA AND THE CARIBBEAN,CENTRAL AMERICA,INGRESO MEDIANO ALTO,,False
CUB,Cuba,AMERICAS,LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN,INGRESO MEDIANO ALTO,,False
CUW,Curaçao,AMERICAS,LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN,INGRESO ALTO,,False
CYM,Cayman Islands,AMERICAS,LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN,INGRESO ALTO,,False
CYP,Cyprus,ASIA,WESTERN ASIA,NO DATA,INGRESO ALTO,,False
CZE,Czechia,EUROPE,EASTERN EUROPE,NO DATA,INGRESO ALTO,,False
DEU,Germany,EUROPE,WESTERN EUROPE,NO DATA,INGRESO ALTO,,False
DJI,Djibouti,AFRICA,SUB-SAHARAN AFRICA,EASTERN AFRICA,PAÍSES DE INGRESO MEDIANO BAJO,,False
DMA,Dominica,AMERICAS,LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN,INGRESO MEDIANO ALTO,,False
DNK,Denmark,EUROPE,NORTHERN EUROPE,NO DATA,INGRESO ALTO,,False
DOM,Dominican Republic,AMERICAS,LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN,INGRESO MEDIANO ALTO,,False
DZA,Algeria,AFRICA,NORTHERN AFRICA,NO DATA,INGRESO MEDIANO ALTO,,False
ECU,Ecuador,AMERICAS,LATIN AMERICA AND THE CARIBBEAN,SOUTH AMERICA,INGRESO MEDIANO ALTO,,False
EGY,Egypt,AFRICA,NORTHERN AFRICA,NO DATA,PAÍSES DE INGRESO MEDIANO BAJO,,False
ERI,Eritrea,AFRICA,SUB-SAHARAN AFRICA,EASTERN AFRICA,PAÍSES DE INGRESO BAJO,,False
ESP,Spain,EUROPE,SOUTHERN EUROPE,NO DATA,INGRESO ALTO,,False
EST,Estonia,EUROPE,NORTHERN EUROPE,NO DATA,INGRESO ALTO,,False
ETH,Ethiopia,AFRICA,SUB-SAHARAN AFRICA,EASTERN AFRICA,PAÍSES DE INGRESO BAJO,,False
FIN,Finland,EUROPE,NORTHERN EUROPE,NO DATA,INGRESO ALTO,,False
FJI,Fiji,OCEANIA,MELANESIA,NO DATA,INGRESO MEDIANO ALTO,,False
FRA,France,EUROPE,WESTERN EUROPE,NO DATA,INGRESO ALTO,,False
FRO,Faroe Islands,EUROPE,NORTHERN EUROPE,NO DATA,INGRESO ALTO,,False
FSM,Micronesia (Federated States Of),OCEANIA,MICRONESIA,NO DATA,PAÍSES DE INGRESO MEDIANO BAJO,,False
GAB,Gabon,AFRICA,SUB-SAHARAN AFRICA,MIDDLE AFRICA,INGRESO MEDIANO ALTO,,False
GBR,United Kingdom Of Great Britain And Northern Ireland,EUROPE,NORTHERN EUROPE,NO DATA,INGRESO ALTO,,False
GEO,Georgia,ASIA,WESTERN ASIA,NO DATA,INGRESO MEDIANO ALTO,,False
GHA,Ghana,AFRICA,SUB-SAHARAN AFRICA,WESTERN AFRICA,PAÍSES DE INGRESO MEDIANO BAJO,,False
GIB,Gibraltar,EUROPE,SOUTHERN EUROPE,NO DATA,INGRESO ALTO,,False
GIN,Guinea,AFRICA,SUB-SAHARAN AFRICA,WESTERN AFRICA,PAÍSES DE INGRESO MEDIANO BAJO,,False
GMB,Gambia,AFRICA,SUB-SAHARAN AFRICA,WESTERN AFRICA,PAÍSES DE INGRESO BAJO,,False
GNB,Guinea-Bissau,AFRICA,SUB-SAHARAN AFRICA,WESTERN AFRICA,PAÍSES DE INGRESO BAJO,,False
GNQ,Equatorial Guinea,AFRICA,SUB-SAHARAN AFRICA,MIDDLE AFRICA,INGRESO MEDIANO ALTO,,False
GRC,Greece,EUROPE,SOUTHERN EUROPE,NO DATA,INGRESO ALTO,,False
GRD,Grenada,AMERICAS,LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN,INGRESO MEDIANO ALTO,,False
GRL,Greenland,AMERICAS,NORTHERN AMERICA,NO DATA,INGRESO ALTO,,False
GTM,Guatemala,AMERICAS,LATIN AMERICA AND THE CARIBBEAN,CENTRAL AMERICA,INGRESO MEDIANO ALTO,,False
GUM,Guam,OCEANIA,MICRONESIA,NO DATA,INGRESO ALTO,,False
GUY,Guyana,AMERICAS,LATIN AMERICA AND THE CARIBBEAN,SOUTH AMERICA,INGRESO ALTO,,False
HKG,Hong Kong,ASIA,EASTERN ASIA,NO DATA,INGRESO ALTO,,False
HND,Honduras,AMERICAS,LATIN AMERICA AND THE CARIBBEAN,CENTRAL AMERICA,PAÍSES DE INGRESO MEDIANO BAJO,,False
HRV,Croatia,EUROPE,SOUTHERN EUROPE,NO DATA,INGRESO ALTO,,False
HTI,Haiti,AMERICAS,LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN,PAÍSES DE INGRESO MEDIANO BAJO,,False
HUN,Hungary,EUROPE,EASTERN EUROPE,NO DATA,INGRESO ALTO,,False
IDN,Indonesia,ASIA,SOUTH-EASTERN ASIA,NO DATA,INGRESO MEDIANO ALTO,,False
IMN,Isle Of Man,EUROPE,NORTHERN EUROPE,NO DATA,INGRESO ALTO,,False
IND,India,ASIA,SOUTHERN ASIA,NO DATA,PAÍSES DE INGRESO MEDIANO BAJO,,False
IRL,Ireland,EUROPE,NORTHERN EUROPE,NO DATA,INGRESO ALTO,,False
IRN,Iran (Islamic Republic Of),ASIA,SOUTHERN ASIA,NO DATA,INGRESO MEDIANO ALTO,,False
IRQ,Iraq,ASIA,WESTERN ASIA,NO DATA,INGRESO MEDIANO ALTO,,False
ISL,Iceland,EUROPE,NORTHERN EUROPE,NO DATA,INGRESO ALTO,,False
ISR,Israel,ASIA,WESTERN ASIA,NO DATA,INGRESO ALTO,,False
ITA,Italy,EUROPE,SOUTHERN EUROPE,NO DATA,INGRESO ALTO,,False
JAM,Jamaica,AMERICAS,LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN,INGRESO MEDIANO ALTO,,False
JOR,Jordan,ASIA,WESTERN ASIA,NO DATA,PAÍSES DE INGRESO MEDIANO BAJO,,False
JPN,Japan,ASIA,EASTERN ASIA,NO DATA,INGRESO ALTO,,False
KAZ,Kazakhstan,ASIA,CENTRAL ASIA,NO DATA,INGRESO MEDIANO ALTO,,False
KEN,Kenya,AFRICA,SUB-SAHARAN AFRICA,EASTERN AFRICA,PAÍSES DE INGRESO MEDIANO BAJO,,False
KGZ,Kyrgyzstan,ASIA,CENTRAL ASIA,NO DATA,PAÍSES DE INGRESO MEDIANO BAJO,,False
KHM,Cambodia,ASIA,SOUTH-EASTERN ASIA,NO DATA,PAÍSES DE INGRESO MEDIANO BAJO,,False
KIR,Kiribati,OCEANIA,MICRONESIA,NO DATA,PAÍSES DE INGRESO MEDIANO BAJO,,False
KNA,Saint Kitts And Nevis,AMERICAS,LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN,INGRESO ALTO,,False
KOR,"Korea, Republic Of",ASIA,EASTERN ASIA,NO DATA,INGRESO ALTO,,False
KWT,Kuwait,ASIA,WESTERN ASIA,NO DATA,INGRESO ALTO,,False
LAO,Lao People'S Democratic Republic,ASIA,SOUTH-EASTERN ASIA,NO DATA,PAÍSES DE INGRESO MEDIANO BAJO,,False
LBN,Lebanon,ASIA,WESTERN ASIA,NO DATA,PAÍSES DE INGRESO MEDIANO BAJO,,False
LBR,Liberia,AFRICA,SUB-SAHARAN AFRICA,WESTERN AFRICA,PAÍSES DE INGRESO BAJO,,False
LBY,Libya,AFRICA,NORTHERN AFRICA,NO DATA,INGRESO MEDIANO ALTO,,False
LCA,Saint Lucia,AMERICAS,LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN,INGRESO MEDIANO ALTO,,False
LIE,Liechtenstein,EUROPE,WESTERN EUROPE,NO DATA,INGRESO ALTO,,False
LKA,Sri Lanka,ASIA,SOUTHERN ASIA,NO DATA,PAÍSES DE INGRESO MEDIANO BAJO,,False
LSO,Lesotho,AFRICA,SUB-SAHARAN AFRICA,SOUTHERN AFRICA,PAÍSES DE INGRESO MEDIANO BAJO,,False
LTU,Lithuania,EUROPE,NORTHERN EUROPE,NO DATA,INGRESO ALTO,,False
LUX,Luxembourg,EUROPE,WESTERN EUROPE,NO DATA,INGRESO ALTO,,False
LVA,Latvia,EUROPE,NORTHERN EUROPE,NO DATA,INGRESO ALTO,,False
MAC,Macao,ASIA,EASTERN ASIA,NO DATA,INGRESO ALTO,,False
MAF,Saint Martin (French Part),AMERICAS,LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN,INGRESO ALTO,,False
MAR,Morocco,AFRICA,NORTHERN AFRICA,NO DATA,PAÍSES DE INGRESO MEDIANO BAJO,,False
MCO,Monaco,EUROPE,WESTERN EUROPE,NO DATA,INGRESO ALTO,,False
MDA,"Moldova, Republic Of",EUROPE,EASTERN EUROPE,NO DATA,INGRESO MEDIANO ALTO,,False
MDG,Madagascar,AFRICA,SUB-SAHARAN AFRICA,EASTERN AFRICA,PAÍSES DE INGRESO BAJO,,False
MDV,Maldives,ASIA,SOUTHERN ASIA,NO DATA,INGRESO MEDIANO ALTO,,False
MEX,Mexico,AMERICAS,LATIN AMERICA AND THE CARIBBEAN,CENTRAL AMERICA,INGRESO MEDIANO ALTO,,False
MHL,Marshall Islands,OCEANIA,MICRONESIA,NO DATA,INGRESO MEDIANO ALTO,,False
MKD,North Macedonia,EUROPE,SOUTHERN EUROPE,NO DATA,INGRESO MEDIANO ALTO,,False
MLI,Mali,AFRICA,SUB-SAHARAN AFRICA,WESTERN AFRICA,PAÍSES DE INGRESO BAJO,,False
MLT,Malta,EUROPE,SOUTHERN EUROPE,NO DATA,INGRESO ALTO,,False
MMR,Myanmar,ASIA,SOUTH-EASTERN ASIA,NO DATA,PAÍSES DE INGRESO MEDIANO BAJO,,False
MNE,Montenegro,EUROPE,SOUTHERN EUROPE,NO DATA,INGRESO MEDIANO ALTO,,False
MNG,Mongolia,ASIA,EASTERN ASIA,NO DATA,INGRESO MEDIANO ALTO,,False
MNP,Northern Mariana Islands,OCEANIA,MICRONESIA,NO DATA,INGRESO ALTO,,False
MOZ,Mozambique,AFRICA,SUB-SAHARAN AFRICA,EASTERN AFRICA,PAÍSES DE INGRESO BAJO,,False
MRT,Mauritania,AFRICA,SUB-SAHARAN AFRICA,WESTERN AFRICA,PAÍSES DE INGRESO MEDIANO BAJO,,False
MUS,Mauritius,AFRICA,SUB-SAHARAN AFRICA,EASTERN AFRICA,INGRESO MEDIANO ALTO,,False
MWI,Malawi,AFRICA,SUB-SAHARAN AFRICA,EASTERN AFRICA,PAÍSES DE INGRESO BAJO,,False
MYS,Malaysia,ASIA,SOUTH-EASTERN ASIA,NO DATA,INGRESO MEDIANO ALTO,,False
NAM,Namibia,AFRICA,SUB-SAHARAN AFRICA,SOUTHERN AFRICA,INGRESO MEDIANO ALTO,,False
NCL,New Caledonia,OCEANIA,MELANESIA,NO DATA,INGRESO ALTO,,False
NER,Niger,AFRICA,SUB-SAHARAN AFRICA,WESTERN AFRICA,PAÍSES DE INGRESO BAJO,,False
NGA,Nigeria,AFRICA,SUB-SAHARAN AFRICA,WESTERN AFRICA,PAÍSES DE INGRESO MEDIANO BAJO,,False
NIC,Nicaragua,AMERICAS,LATIN AMERICA AND THE CARIBBEAN,CENTRAL AMERICA,PAÍSES DE INGRESO MEDIANO BAJO,,False
NLD,Netherlands,EUROPE,WESTERN EUROPE,NO DATA,INGRESO ALTO,,False
NOR,Norway,EUROPE,NORTHERN EUROPE,NO DATA,INGRESO ALTO,,False
NPL,Nepal,ASIA,SOUTHERN ASIA,NO DATA,PAÍSES DE INGRESO MEDIANO BAJO,,False
NRU,Nauru,OCEANIA,MICRONESIA,NO DATA,INGRESO ALTO,,False
NZL,New Zealand,OCEANIA,AUSTRALIA AND NEW ZEALAND,NO DATA,INGRESO ALTO,,False
OMN,Oman,ASIA,WESTERN ASIA,NO DATA,INGRESO ALTO,,False
PAK,Pakistan,ASIA,SOUTHERN ASIA,NO DATA,PAÍSES DE INGRESO MEDIANO BAJO,,False
PAN,Panama,AMERICAS,LATIN AMERICA AND THE CARIBBEAN,CENTRAL AMERICA,INGRESO ALTO,,False
PER,Peru,AMERICAS,LATIN AMERICA AND THE CARIBBEAN,SOUTH AMERICA,INGRESO MEDIANO ALTO,,False
PHL,Philippines,ASIA,SOUTH-EASTERN ASIA,NO DATA,PAÍSES DE INGRESO MEDIANO BAJO,,False
PLW,Palau,OCEANIA,MICRONESIA,NO DATA,INGRESO ALTO,,False
PNG,Papua New Guinea,OCEANIA,MELANESIA,NO DATA,PAÍSES DE INGRESO MEDIANO BAJO,,False
POL,Poland,EUROPE,EASTERN EUROPE,NO DATA,INGRESO ALTO,,False
PRI,Puerto Rico,AMERICAS,LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN,INGRESO ALTO,,False
PRK,Korea (Democratic People'S Republic Of),ASIA,EASTERN ASIA,NO DATA,PAÍSES DE INGRESO BAJO,,False
PRT,Portugal,EUROPE,SOUTHERN EUROPE,NO DATA,INGRESO ALTO,,False
PRY,Paraguay,AMERICAS,LATIN AMERICA AND THE CARIBBEAN,SOUTH AMERICA,INGRESO MEDIANO ALTO,,False
PSE,"Palestine, State Of",ASIA,WESTERN ASIA,NO DATA,PAÍSES DE INGRESO MEDIANO BAJO,,False
PYF,French Polynesia,OCEANIA,POLYNESIA,NO DATA,INGRESO ALTO,,False
QAT,Qatar,ASIA,WESTERN ASIA,NO DATA,INGRESO ALTO,,False
ROU,Romania,EUROPE,EASTERN EUROPE,NO DATA,INGRESO ALTO,,False
RUS,Russian Federation,EUROPE,EASTERN EUROPE,NO DATA,INGRESO ALTO,,False
RWA,Rwanda,AFRICA,SUB-SAHARAN AFRICA,EASTERN AFRICA,PAÍSES DE INGRESO BAJO,,False
SAU,Saudi Arabia,ASIA,WESTERN ASIA,NO DATA,INGRESO ALTO,,False
SDN,Sudan,AFRICA,NORTHERN AFRICA,NO DATA,PAÍSES DE INGRESO BAJO,,False
